Epoch [1/50], Batch: 0 Loss: 1.0311, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 0 Loss: 1.9583, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 0 Loss: 1.0248, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 0 Loss: 0.8975, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 0 Loss: 2.1447, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 0 Loss: 2.9925, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 0 Loss: 0.8879, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 0 Loss: 0.5648, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 0 Loss: 0.9640, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 10 Loss: 0.9777, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 10 Loss: 1.1155, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 10 Loss: 0.4150, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 10 Loss: 0.3184, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 10 Loss: 1.2828, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 10 Loss: 1.8465, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 10 Loss: 0.8688, n.gate: 2, t.gate: GateMLP
Epoch [1/50], Batch: 10 Loss: 0.2292, n.gate: 2, t.gate: GateCNN
Epoch [1/50], Batch: 10 Loss: 0.3464, n.gate: 2, t.gate: GateCNN2
Epoch [1/50], Batch: 20 Loss: 0.6056, n.gate: 0, t.gate: GateMLP
Epoch [1/50], Batch: 20 Loss: 0.6133, n.gate: 0, t.gate: GateCNN
Epoch [1/50], Batch: 20 Loss: 0.1464, n.gate: 0, t.gate: GateCNN2
Epoch [1/50], Batch: 20 Loss: 0.3606, n.gate: 1, t.gate: GateMLP
Epoch [1/50], Batch: 20 Loss: 0.7504, n.gate: 1, t.gate: GateCNN
Epoch [1/50], Batch: 20 Loss: 1.1305, n.gate: 1, t.gate: GateCNN2
Epoch [1/50], Batch: 20 Loss: 0.4966, n.gate: 2, t.gate: GateMLP
